Day,Time,Unit,Classroom Level/ Room/ Venue,Lecturer,Tutor,Delivery Mode
monday,4:00 to 5:00(L + T),MITS5003-(1h Lecture 1),1234,,,oncampus
monday,7:30 to 8:30(L + T),MITS5501-(1h Lecture 1),2222,,,oncampus
wednesday,7:00 to 8:00(L + T),MITS5501-(1h Lecture 2),6666,,,oncampus
wednesday,12:00 to 13:00(L + T),MITS5502-(1h Lab 1),321,,,oncampus
wednesday,20:00 to 21:00(L + T),MITS5502-(1h Lecture 1),432,,,online
thursday,10:00 to 11:00(L + T),MITS5501-(1h Lab 1),4321,,,oncampus
thursday,12:00 to 13:00(L + T),MITS5501-(1h Tutorial 1),4321,,,oncampus
thursday,15:00 to 16:30(L + T),MITS6002-(1h30min Lecture 1),1234,,,oncampus
friday,8:00 to 9:00(L + T),MITS5003-(1h Tutorial 1),65432,,,oncampus
friday,15:00 to 16:30(L + T),MITS6002-(1h30min Lecture 2),1234,,,oncampus
